"Accuracy","Precision","Recall","F1_Score","AUC_ROC","AUC_PR","classifier","dataset","model","method"
0.99875,1,0.9975,0.998748435544431,0.99815625,0.996673694167014,"Naive Bayes","wikinews","Deepseek","beam (3)"
1,1,1,1,1,1,"Random Forest","wikitext","Deepseek","beam (3)"
1,1,1,1,1,1,"Logistic Regression","wikitext","Deepseek","beam (3)"
0.998091603053435,1,0.99618320610687,0.998087954110899,1,1,"Naive Bayes","wikitext","Deepseek","beam (3)"
0.996143958868895,0.997422680412371,0.994858611825193,0.996138996138996,0.999649751191176,0.99966752950332,"Random Forest","book","Deepseek","CS (('0.2', '10'))"
0.992287917737789,0.997402597402597,0.987146529562982,0.992248062015504,0.999590274978357,0.999628938676294,"Logistic Regression","book","Deepseek","CS (('0.2', '10'))"
0.993573264781491,0.994845360824742,0.992287917737789,0.993564993564994,0.999451497148446,0.999522963894274,"Naive Bayes","book","Deepseek","CS (('0.2', '10'))"
0.9525,0.950248756218906,0.955,0.952618453865337,0.99070625,0.98911999451774,"Random Forest","wikinews","Deepseek","CS (('0.2', '10'))"
0.9375,0.983425414364641,0.89,0.934383202099738,0.95600625,0.887075883695988,"Logistic Regression","wikinews","Deepseek","CS (('0.2', '10'))"
0.95875,0.986737400530504,0.93,0.957528957528958,0.9848625,0.976387328942008,"Naive Bayes","wikinews","Deepseek","CS (('0.2', '10'))"
0.984732824427481,0.99609375,0.973282442748092,0.984555984555984,0.995360118874192,0.992494423774195,"Random Forest","wikitext","Deepseek","CS (('0.2', '10'))"
0.982824427480916,0.996078431372549,0.969465648854962,0.982591876208898,0.991069867723326,0.965474200797333,"Logistic Regression","wikitext","Deepseek","CS (('0.2', '10'))"
0.977099236641221,0.996031746031746,0.958015267175573,0.976653696498055,0.991113571470194,0.966334720000275,"Naive Bayes","wikitext","Deepseek","CS (('0.2', '10'))"
0.993573264781491,0.99740932642487,0.989717223650386,0.993548387096774,0.998334666041065,0.996884145897372,"Random Forest","book","Deepseek","CS (('0.2', '3'))"
0.989717223650386,0.994805194805195,0.984575835475578,0.989664082687339,0.993133801653439,0.976408163702562,"Logistic Regression","book","Deepseek","CS (('0.2', '3'))"
0.989717223650386,0.992248062015504,0.987146529562982,0.989690721649485,0.996114220762485,0.990701331138864,"Naive Bayes","book","Deepseek","CS (('0.2', '3'))"
0.9575,0.974093264248705,0.94,0.956743002544529,0.977653125,0.962431855272338,"Random Forest","wikinews","Deepseek","CS (('0.2', '3'))"
0.91625,0.974358974358974,0.855,0.910785619174434,0.947225,0.895051523047612,"Logistic Regression","wikinews","Deepseek","CS (('0.2', '3'))"
0.955,0.978947368421053,0.93,0.953846153846154,0.983275,0.967560002985971,"Naive Bayes","wikinews","Deepseek","CS (('0.2', '3'))"
1,1,1,1,1,1,"Random Forest","wikitext","Deepseek","CS (('0.2', '3'))"
0.994274809160305,1,0.988549618320611,0.994241842610365,0.997931355981586,0.997070437974348,"Logistic Regression","wikitext","Deepseek","CS (('0.2', '3'))"
0.994274809160305,1,0.988549618320611,0.994241842610365,0.999985432084377,0.999985459815204,"Naive Bayes","wikitext","Deepseek","CS (('0.2', '3'))"
1,1,1,1,1,1,"Random Forest","book","Deepseek","CS (('0.2', '15'))"
1,1,1,1,1,1,"Logistic Regression","book","Deepseek","CS (('0.2', '15'))"
1,1,1,1,1,1,"Naive Bayes","book","Deepseek","CS (('0.2', '15'))"
0.96875,0.979539641943734,0.9575,0.968394437420986,0.99365625,0.991197686117394,"Random Forest","wikinews","Deepseek","CS (('0.2', '15'))"
0.9725,0.989637305699482,0.955,0.972010178117048,0.98716875,0.966930130344219,"Logistic Regression","wikinews","Deepseek","CS (('0.2', '15'))"
0.97,0.989583333333333,0.95,0.969387755102041,0.98956875,0.978186983282954,"Naive Bayes","wikinews","Deepseek","CS (('0.2', '15'))"
0.959923664122137,0.976284584980237,0.942748091603053,0.959223300970874,0.993051104248004,0.992646561058281,"Random Forest","wikitext","Deepseek","CS (('0.2', '15'))"
0.956106870229008,0.995850622406639,0.916030534351145,0.95427435387674,0.955393042363499,0.87965221674834,"Logistic Regression","wikitext","Deepseek","CS (('0.2', '15'))"
0.954198473282443,0.983739837398374,0.923664122137405,0.952755905511811,0.966697744886662,0.934666637203381,"Naive Bayes","wikitext","Deepseek","CS (('0.2', '15'))"
0.993573264781491,0.99740932642487,0.989717223650386,0.993548387096774,0.997092274039955,0.994261215067636,"Random Forest","book","Deepseek","CS (('0.2', '20'))"
